Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,9.742944934126424,8.18970253455207,-0.025855126247732254,5.663098431894489,8.453513196478195
37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,10.072417020779532,6.868357235216596,0.00638550385606644,6.561399401455326,8.312518294834025
38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,6.4360213977192995,11.18738142259673,1.3282513381118135,8.305160107073423,8.280473999005805
39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,8.205408529745252,8.603855538821398,0.715679366139638,6.614240634958905,8.049755069042618
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,7.912544452720266,4.856756928765575,8.324468070636135,5.134686096858702,8.011301914048753
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,6.972938872265106,8.46580453739829,1.2960107080080148,9.414826010648573,7.812627279913789
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.7874231047830245,6.651419947265996,16.93271630835039,4.3949088278086,7.517819758294162
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.4598078076360155,7.420561240909033,8.356708700739933,4.447750061312179,7.479366603300298
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,9.401270177597274,5.290631504666776,0.16758865437506,6.138669533426696,7.43450458914079
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,4.312756839288156,11.167659850964855,0.9091231467624303,10.418809447216569,7.331962842490485
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,5.04491703185062,5.17230207487554,12.515749984129966,3.813655259269235,7.280691969165333
47,Super Mario 64,N64,1996.0,Platform,Nintendo,8.107787170736923,5.330074647930522,5.90642081285123,0.9602286500759875,7.274283109999689
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.348745919080913,-0.2708516955213387,3.294929774443535,39.534329107688414,7.126879349189875
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,7.192586930033844,6.414761087683523,3.617336075481522,3.7608140257656566,7.037155320870858
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.8374716439579215,6.355596372787905,9.67857453499568,3.1795604572262914,6.915386996723622
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,7.192586930033844,3.7326273457488295,8.42118996094753,1.277276051097459,6.819254109238961
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,7.924747122596307,5.8231139387273405,0.19982928447885873,5.187527330362281,6.716712362588655
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.581215576561059,7.341674954381542,7.93758050939055,2.4926244216797686,6.671850348429147
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,5.642847855776631,5.6061766507767405,6.615714675134802,3.866496492772814,6.569308601778842
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,3.2877325697007076,9.33355368920069,2.3599515014333723,10.947221782252356,6.556490883447554
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,5.764874554537042,6.9866866650078325,0.9736044069700278,8.358001340577,6.505220010122402
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,5.484213147388097,7.124737666430941,1.16704818759282,8.305160107073423,6.428313700134674
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,6.985141542141147,3.949564633699429,6.583474045031004,1.277276051097459,6.415495981803386
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.971701012594373,4.935643215293067,9.90425894572227,1.5943234521189311,6.377042826809522
60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.874698583421411,5.842835510359213,3.7785392260005155,4.923321162844387,6.332180812650013
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,7.058357561397393,5.921721796886704,-0.25153953697432324,5.398892264376595,6.229639065999708
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,7.875936443092143,4.8962000720293215,-0.1225770165591284,4.077861426787128,6.197594770171489
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,8.254219209249417,3.614297915957593,0.00638550385606644,3.866496492772814,5.986102417705235
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,6.44822406759534,3.535411629430102,6.938120976172789,0.5374987820473579,5.97969355853959
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,4.141919461023582,5.763949223831722,7.711896098663959,3.0738779902191338,5.94764926271137
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,7.7661124142077735,4.363717637968757,-0.1225770165591284,3.6022903252549203,5.909196107717506
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.348745919080913,4.580654925919358,10.323387137071654,4.817638695837229,5.88356067105493
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.666634265693347,7.065572951535324,0.9736044069700278,7.036970502987533,5.800245501901557
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,6.802101494000531,5.408960934458013,-0.21929890687052456,3.866496492772814,5.755383487742048
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,4.410378198296485,6.454204230947268,5.197126950567658,2.386941954672611,5.736156910245116
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,6.8875201831328186,4.403160781232502,0.16758865437506,4.500591294815758,5.627206304429167
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.996106352346455,3.0818154818970287,9.420649494165291,0.9602286500759875,5.6143885860978795
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,6.484832077223463,5.290631504666776,-0.18705827676672582,3.813655259269235,5.550299994441438
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.1284789314768076,4.284831351441266,13.805375188281916,1.911370853140403,5.479802543619354
75,Mario Party DS,DS,2007.0,Misc,Nintendo,5.118133051106866,3.417082199638865,6.132105223577821,3.443766624744184,5.434940529459846
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.8136852340412055,5.3497962195623945,0.07086676406366386,4.236385127297864,5.319581064478253
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.9954874225110886,2.1549016151990097,12.032140532572985,0.6960224825580938,5.2683101911531
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.0302386426331134,11.660699141761674,-0.05809575635153099,6.402875700944589,5.095270993680711
79,Wii Party,Wii,2010.0,Misc,Nintendo,1.860020194203905,6.671141518897868,7.776377358871557,3.3380841577370273,5.095270993680711
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,7.997963141852554,2.726827192523319,-0.09033638645532968,0.16761014752230732,5.095270993680711
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,4.324959509164197,4.24538820817752,4.842480019425873,3.6022903252549203,5.050408979521203
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,3.2267192203205024,3.3776390563751204,9.872018315618472,2.0170533201475607,4.9927292470304065
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,0.9692252932529081,9.668820406942526,0.16758865437506,10.36596821371299,4.93504951453961
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.8716039342445796,12.370675720509093,-0.25153953697432324,3.496607858247763,4.851734345386237
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,6.753290814496366,3.673462630853211,0.16758865437506,0.5374987820473579,4.8389166270549495
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.824031114411148,7.40083966927716,1.8763420498763916,4.553432528319337,4.819690049558018
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,3.2267192203205024,3.7917920606444473,8.550152481362725,1.488640985111774,4.813281190392374
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.457951018129916,3.1015370535289013,11.451809190704608,0.9602286500759875,4.691512866245136
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,3.1168951914361327,3.2198664833201383,8.42118996094753,2.651148122190505,4.678695147913848
90,Pac-Man,2600,1982.0,Puzzle,Atari,8.559285956150443,0.5968974562810623,-0.25153953697432324,0.16761014752230732,4.659468570416916
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,3.2145165504444613,5.290631504666776,0.5222355855168458,8.992096142619944,4.60178883792612
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,4.141919461023582,4.482047067759994,2.90804221319795,3.1267192237227124,4.582562260429188
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,3.2511245600725847,6.197823799732923,0.4577543253092483,6.244352000433854,4.569744542097899
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,3.0924898516840504,6.217545371364795,0.19982928447885873,6.984129269483955,4.524882527938391
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.678836935569387,3.436803771270738,4.423351828076489,0.5903400155509366,4.524882527938391
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,4.288351499536073,3.9890077769631747,3.9719830066233075,1.3829585181046165,4.512064809607103
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,6.252981349578683,2.0365721854077727,2.005304570291586,0.7488637160616726,4.435158499619374
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.6294073262298574,2.37183890314961,7.550692948144965,2.0170533201475607,4.42874964045373
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,5.52082115701622,3.456525342902611,-0.25153953697432324,3.3909253912406054,4.3774787671285775
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,5.118133051106866,3.9101214904356842,-0.05809575635153099,3.3909253912406054,4.358252189631646
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,4.349364848916279,4.02845092022692,1.6828982692535992,3.443766624744184,4.339025612134713
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,5.1913490703631116,3.831235203908193,-0.21929890687052456,3.2852429242334487,4.332616752969069
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.958879412882965,5.685062937304231,-0.25153953697432324,3.6022903252549203,4.313390175472136
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,3.153503201064256,5.487847220985504,0.8768825166586316,5.557415964887332,4.287754738809562
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.6660153358579803,5.290631504666776,0.00638550385606644,5.134686096858702,4.268528161312629
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.6660153358579803,4.087615635122539,4.262148677557495,1.277276051097459,4.242892724650052
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,4.166324800775664,3.16070176842452,4.326629937765093,1.2244348175938806,4.2236661471531205
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,5.05711970172666,1.7604701825615547,4.229908047453697,0.9073874165724087,4.185212992159256
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.4951779575934054,3.7917920606444473,3.8430204862081125,2.3341007211690323,4.114715541337172
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.6898017457746963,5.921721796886704,0.5222355855168458,5.557415964887332,4.114715541337172
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.70324227532147,3.200144911688265,2.5533952820561643,0.7488637160616726,4.108306682171528
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.727647615073551,4.067894063490666,-0.25153953697432324,2.7039893556940835,4.082671245508951
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.6275505367237586,8.229145677815817,-0.025855126247732254,8.886413675612786,4.076262386343307
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.982665822799681,5.665341365672359,0.00638550385606644,5.5045747313837525,4.076262386343307
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,3.2511245600725847,5.1328589316117945,0.29655117479025483,4.9761623963479655,4.031400372183799
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,3.0558818420559275,5.231466789771158,0.36103243499785226,5.346051030873016,4.031400372183799
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.617204656353816,4.343996066336884,2.779079692782755,1.3301172846010378,4.024991513018155
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.9466767430069245,4.9159216436611946,-0.25153953697432324,3.2852429242334487,4.01858265385251
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.739850284949593,3.4959684861663565,-0.05809575635153099,3.1267192237227124,3.9865383580242906
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.6660153358579803,4.146780350018157,0.42551369520544957,5.029003629851545,3.9673117805273588
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.4585699479652825,4.24538820817752,0.6511981059320407,5.240368563865859,3.9609029213617144
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.7007665559800047,8.229145677815817,0.10310739416746256,7.248335437001848,3.9416763438647826
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.713588155691412,5.192023646507412,4.90696127963347,3.021036756715555,3.928858625533494
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,3.0802871818080098,4.856756928765575,0.29655117479025483,5.187527330362281,3.8839966113739854
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.6397532065997996,8.169980962920198,-0.09033638645532968,7.5125416045197415,3.8775877522083415
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.641609996105898,3.3381959131113748,3.0692453637169437,2.228418254161875,3.8775877522083415
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.7874231047830245,5.053972645084303,0.5544762156206445,5.293209797369438,3.8583611747114093
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,4.23954082003191,1.543532894610954,5.197126950567658,0.4846575485437794,3.826316878883189
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.897247133667394,4.758149070606212,0.2643105446864561,5.768780898901645,3.8199080197175452
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,5.752671884661001,2.273231044990246,0.00638550385606644,0.1147689140187287,3.775046005558037
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.8118284445351063,2.825435050682683,6.390030264408211,0.85454618306883,3.762228287226749
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,4.117514121271499,2.0760153286715184,4.552314348491684,0.1147689140187287,3.755819428061105
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.7874231047830245,2.785991907418938,3.90750174641571,4.9761623963479655,3.7494105688954606
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.971701012594373,2.37183890314961,-0.05809575635153099,2.9681955232119765,3.730183991398529
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,4.190730140527745,3.5945763443257204,0.03862613395986513,2.7568305891976617,3.7173662730672405
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.569012906685018,2.194344758462755,2.5533952820561643,0.6431812490545153,3.698139695570308
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.6898017457746963,1.3463171782922265,9.001521302815908,0.37897508153662196,3.6917308364046644
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,-0.23883902447515618,11.956522716239766,-0.25153953697432324,-0.255119720506322,3.6789131180733765
139,Driver,PS,1999.0,Action,GT Interactive,3.470772617841323,5.231466789771158,-0.18705827676672582,1.488640985111774,3.6725042589077317
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,4.459188877800648,3.2198664833201383,-0.1548176466629271,2.43978318817619,3.6532776814108
141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.617823586189182,2.9043213372101744,-0.025855126247732254,2.3341007211690323,3.6532776814108
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.9954874225110886,3.456525342902611,-0.025855126247732254,2.9153542897083975,3.5699625122574274
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.665396406022614,3.673462630853211,2.5533952820561643,3.5494490917513417,3.531509357263563
144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,5.130335720982906,2.0760153286715184,0.2643105446864561,0.7488637160616726,3.518691638932275
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.8850444637913526,3.140980196792647,2.4244327616409693,4.130702660290707,3.518691638932275
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.556191306973611,3.3184743414795017,2.263229611121976,1.0130698835795657,3.518691638932275
147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.61658572651845,4.205945064913775,0.6511981059320407,5.081844863355123,3.493056202269699
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.9698442230882742,-0.29057326715321147,7.260527277210777,8.939254909116366,3.4674207656071228
149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,3.0924898516840504,3.752348917380702,0.29655117479025483,4.500591294815758,3.4481941881101905
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.4811184982112659,1.0702151754460083,13.773134558178114,0.5374987820473579,3.3969233147850377
151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,4.141919461023582,2.9240429088420465,-0.25153953697432324,2.545465655183347,3.390514455619394
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.9698442230882742,2.6084977627320827,6.261067743993016,2.122735787154718,3.38410559645375
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.433545678377834,3.436803771270738,4.133186157142301,0.9602286500759875,3.3328347231285975
154,Cooking Mama,DS,2006.0,Simulation,505 Games,3.4951779575934054,3.535411629430102,-0.025855126247732254,2.8096718227012403,3.320017004797309
155,Destiny,PS4,2014.0,Shooter,Activision,2.7142070855267786,3.752348917380702,0.2643105446864561,4.817638695837229,3.2751549906378012
156,Tetris,NES,1988.0,Puzzle,Nintendo,3.2999352395767487,1.0702151754460083,5.584014511813243,0.32613384803304335,3.230292976478293
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.7752204349069833,3.5551332010619747,0.42551369520544957,4.342067594305021,3.223884117312649
158,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,3.275529899824667,0.8927210307591534,6.099864593474022,-0.04375478649200733,3.2110663989813606
159,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.678218005734021,2.963486052105792,-0.025855126247732254,2.651148122190505,3.2110663989813606
160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.9704631529236405,3.4762469145344834,0.10310739416746256,3.9721789597799715,3.1982486806500727
161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,3.324340579328831,3.4959684861663565,0.07086676406366386,2.43978318817619,3.185430962318784
162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.24926777056648586,0.8335563158635352,13.063840695894545,1.5414822186153527,3.17902210315314
163,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.5073806274694466,2.1549016151990097,2.6823578024713592,0.8017049495652513,3.1726132439874966
164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.872841793915312,2.943764480473919,2.9402828433017487,0.9602286500759875,3.159795525656208
165,Super Mario World,GBA,2001.0,Platform,Nintendo,3.592799316601734,1.898521183984664,2.8113203228865538,0.8017049495652513,3.153386666490564
166,Pokemon Stadium,N64,1999.0,Strategy,Nintendo,3.556191306973611,2.1549016151990097,2.779079692782755,0.22045138102588596,3.14697780732492
167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.9948684926757227,3.397360628006993,-0.25153953697432324,4.183543893794286,3.1341600889936316
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.201694950733054,4.225666636545648,0.5222355855168458,4.077861426787128,3.1277512298279877
169,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,2.079668251972644,4.659541212446848,-0.25153953697432324,4.711956228830072,3.1277512298279877
170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.7990068448236995,2.1549016151990097,5.777458292436036,2.4926244216797686,3.0892980748341237
171,Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.335924319369506,1.6026976095065726,6.196586483785419,0.8017049495652513,3.0764803565028354
172,Pokemon Pinball,GB,1999.0,Misc,Nintendo,3.360948588956954,1.9182427556165367,3.004764103509346,0.5903400155509366,3.057253779005903
173,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.4951779575934054,3.0818154818970287,-0.1548176466629271,2.0698945536511393,3.050844919840259
174,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.6525748063112071,1.2279877485009905,8.711355631881718,0.4846575485437794,3.050844919840259
175,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,2.0186549025924383,1.8393564690890458,6.5512334149272045,0.6431812490545153,3.0444360606746153
176,Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.7392313551142267,1.267430891764736,3.262689144339736,0.061927680515149984,3.031618342343327
177,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.4585699479652825,2.785991907418938,0.00638550385606644,2.43978318817619,3.031618342343327
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.164468011269565,4.60037649755123,3.0692453637169437,2.4926244216797686,3.025209483177683
179,Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.482356357881998,4.560933354287484,0.393273065101651,1.2244348175938806,3.012391764846395
180,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.874079653586044,0.22218759527548004,-0.21929890687052456,3.496607858247763,3.005982905680751
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.4689158283352248,1.1885446052372448,11.387327930497012,0.8017049495652513,2.993165187349463
